foodid	foodname	description	yelpid	price	rating	total	restname
226	fishermanâ€™s platter	atlantic haddock | shrimp | sea scallops fullbellied ipswich clams & calamari	pescatore-somerville	20	5	1	Pescatore
227	fusilli amalfi	homemade fusilli pasta with shrimp | sea scallops | lobster meat & broccoli rabe. red | white | or fra diavolo sauce	pescatore-somerville	21	4	1	Pescatore
228	pappardelle tartufo	homemade wide noodle pasta | porcini mushroom black truffle oil & walnut light cream sauce topped with shaved parmigiano	pescatore-somerville	16	3	1	Pescatore
229	gnocchi sorrentino	homemade potato & ricotta dumplings baked in a tomato-basil sauce topped with bufala milk mozzarella	pescatore-somerville	14	2	1	Pescatore
230	lobster ravioli	homemade lobster & ricotta stuffed ravioli vodka & light cream tomato sauce	pescatore-somerville	16	1	1	Pescatore
231	risotto pescatore	imported arborio rice | orvieto white wine & tomato sauce lobster meat | p.e.i. mussels | sea scallops & shrimp	pescatore-somerville	21	5	1	Pescatore
232	cheese ravioli	homemade ravioli stuffed with a three cheese blend topped in a light tomato-basil sauce	pescatore-somerville	11	5	1	Pescatore
233	eggplant parmigiana	oven-baked eggplant with mozzarella & parmigiano topped with fresh tomato basil sauce	pescatore-somerville	12	4	1	Pescatore
234	fettuccine bolognese	homemade egg noodle pasta in a classic bolognese ground veal | beef & pancetta | red wine tomato sauce	pescatore-somerville	13	3	1	Pescatore
235	fettuccine alfredo	homemade egg noodle pasta in a classic alfredo	pescatore-somerville	11	2	1	Pescatore
236	linguini alle vongole	in shell cape cod littleneck clams fresh marinara | or extra virgin olive oil garlic & white wine | or fra diavolo	pescatore-somerville	16	1	1	Pescatore
237	grilled steak tips	prime angus beef in house marinade sautÃ©ed spinach & mashed potatoes	pescatore-somerville	16	5	1	Pescatore
238	chicken francese	lemon-pepper parmigiano cream sauce sautÃ©ed asparagus	pescatore-somerville	16	4	1	Pescatore
239	chicken marsala	marsala wine | mushrooms & prosciutto homemade butternut squash & ricotta-filled ravioli veal	pescatore-somerville	16	3	1	Pescatore
240	chicken picata	sautÃ©ed in a lemon caper sauce homemade artichoke & fontina cheese-filled ravioli	pescatore-somerville	16	2	1	Pescatore
241	chicken parmigiana	topped with parmigiano & mozzarella cheese homemade fusilli in a light marinara sauce	pescatore-somerville	16	1	1	Pescatore
242	veal parmigiana	topped with parmigiano & mozzarella cheese homemade fusilli in a light marinara sauce	pescatore-somerville	19	5	1	Pescatore
243	egg rolls		dim-sum-cafe-medford	5.95	4	1	Dim Sum Cafe
244	peking ravioli		dim-sum-cafe-medford	5.95	3	1	Dim Sum Cafe
245	fried wonton		dim-sum-cafe-medford	5.95	2	1	Dim Sum Cafe
246	crab rangoon		dim-sum-cafe-medford	6.25	1	1	Dim Sum Cafe
247	chicken wings		dim-sum-cafe-medford	7.95	5	1	Dim Sum Cafe
248	fried chicken fingers		dim-sum-cafe-medford	7.95	4	1	Dim Sum Cafe
249	boneless spareribs		dim-sum-cafe-medford	7.95	3	1	Dim Sum Cafe
250	fried shrimps		dim-sum-cafe-medford	7.95	2	1	Dim Sum Cafe
251	chicken teriyaki		dim-sum-cafe-medford	7.95	1	1	Dim Sum Cafe
252	beef teriyaki		dim-sum-cafe-medford	7.95	5	1	Dim Sum Cafe
253	bbq spareribs		dim-sum-cafe-medford	7.95	5	1	Dim Sum Cafe
254	scallion pancakes		dim-sum-cafe-medford	4.75	4	1	Dim Sum Cafe
255	crispy fried tofu		dim-sum-cafe-medford	5	3	1	Dim Sum Cafe
256	vegetable ravioli		dim-sum-cafe-medford	5.25	2	1	Dim Sum Cafe
257	fried dough with pink sugar		dim-sum-cafe-medford	5.25	1	1	Dim Sum Cafe
258	vegetable tempura		dim-sum-cafe-medford	5.75	5	1	Dim Sum Cafe
259	wonton with spicy peanut sauce		dim-sum-cafe-medford	6	4	1	Dim Sum Cafe
260	edamame		dim-sum-cafe-medford	5	3	1	Dim Sum Cafe
261	spicy cold sesame noodles		dim-sum-cafe-medford	6.25	2	1	Dim Sum Cafe
262	popcorn shrimp		dim-sum-cafe-medford	6.95	1	1	Dim Sum Cafe
263	fried shiu mai		dim-sum-cafe-medford	6	5	1	Dim Sum Cafe
264	chicken wing w/ spiced salt & pepper		dim-sum-cafe-medford	9.95	4	1	Dim Sum Cafe
265	fish fillet w/ spiced salt & pepper		dim-sum-cafe-medford	9.95	3	1	Dim Sum Cafe
266	pork chop w/ spiced salt and pepper		dim-sum-cafe-medford	10.95	2	1	Dim Sum Cafe
267	calamari w/ spiced salt and pepper		dim-sum-cafe-medford	11	1	1	Dim Sum Cafe
268	peking duck		dim-sum-cafe-medford	30	5	1	Dim Sum Cafe
269	wonton soup		dim-sum-cafe-medford	5.25	4	1	Dim Sum Cafe
270	hot & sour soup		dim-sum-cafe-medford	5.25	3	1	Dim Sum Cafe
271	egg drop soup		dim-sum-cafe-medford	5.25	2	1	Dim Sum Cafe
272	miso tofu soup		dim-sum-cafe-medford	5.25	1	1	Dim Sum Cafe
273	general gauâ€™s chicken		dim-sum-cafe-medford	6.5	5	1	Dim Sum Cafe
274	sesame chicken		dim-sum-cafe-medford	9	5	1	Dim Sum Cafe
275	sliced chicken w/ broccoli		dim-sum-cafe-medford	9	4	1	Dim Sum Cafe
276	sliced chicken w/ mixed vegetables		dim-sum-cafe-medford	9	3	1	Dim Sum Cafe
277	sweet & sour chicken		dim-sum-cafe-medford	9	2	1	Dim Sum Cafe
278	kung pao chicken		dim-sum-cafe-medford	9	1	1	Dim Sum Cafe
279	szechuan spiced chicken		dim-sum-cafe-medford	10	5	1	Dim Sum Cafe
280	orange flavored chicken		dim-sum-cafe-medford	10	4	1	Dim Sum Cafe
281	chicken w/ mushrooms		dim-sum-cafe-medford	10	3	1	Dim Sum Cafe
282	chicken w/ snow peas		dim-sum-cafe-medford	10	2	1	Dim Sum Cafe
283	chicken w/ green beans		dim-sum-cafe-medford	10	1	1	Dim Sum Cafe
284	chicken w/ garlic sauce		dim-sum-cafe-medford	10	5	1	Dim Sum Cafe
285	chicken w/ cashew nuts		dim-sum-cafe-medford	10	4	1	Dim Sum Cafe
286	pineapple chicken		dim-sum-cafe-medford	10	3	1	Dim Sum Cafe
287	thai basil chicken		dim-sum-cafe-medford	10	2	1	Dim Sum Cafe
288	general gauâ€™s beef		dim-sum-cafe-medford	10	1	1	Dim Sum Cafe
289	orange flavored beef		dim-sum-cafe-medford	10	5	1	Dim Sum Cafe
290	beef w/ ginger and scallions		dim-sum-cafe-medford	10	4	1	Dim Sum Cafe
291	beef w/ broccoli		dim-sum-cafe-medford	10	3	1	Dim Sum Cafe
292	beef w/ snow peas		dim-sum-cafe-medford	10	2	1	Dim Sum Cafe
293	beef w/ green beans		dim-sum-cafe-medford	10	1	1	Dim Sum Cafe
294	beef w/ green pepper		dim-sum-cafe-medford	10	5	1	Dim Sum Cafe
295	beef w/ mushrooms		dim-sum-cafe-medford	10	5	1	Dim Sum Cafe
296	beef w/ eggplant		dim-sum-cafe-medford	10	4	1	Dim Sum Cafe
297	beef w/ vegetables		dim-sum-cafe-medford	10	3	1	Dim Sum Cafe
298	beef w/ garlic sauce		dim-sum-cafe-medford	10	2	1	Dim Sum Cafe
299	szechuan spiced beef		dim-sum-cafe-medford	10	1	1	Dim Sum Cafe
300	kung pao beef		dim-sum-cafe-medford	10	5	1	Dim Sum Cafe
301	sesame beef		dim-sum-cafe-medford	11	4	1	Dim Sum Cafe
302	mongolian beef		dim-sum-cafe-medford	11	3	1	Dim Sum Cafe
303	dry cooked string beans with pork		dim-sum-cafe-medford	7.65	2	1	Dim Sum Cafe
304	lobster sauce		dim-sum-cafe-medford	7.75	1	1	Dim Sum Cafe
305	ma-po tofu with pork		dim-sum-cafe-medford	8	5	1	Dim Sum Cafe
306	sweet & sour pork		dim-sum-cafe-medford	9	4	1	Dim Sum Cafe
307	hunan crispy pork		dim-sum-cafe-medford	10	3	1	Dim Sum Cafe
308	szechuan style pork		dim-sum-cafe-medford	10	2	1	Dim Sum Cafe
309	pork w/ garlic sauce		dim-sum-cafe-medford	10	1	1	Dim Sum Cafe
310	pork chop w/ spiced salt and pepper		dim-sum-cafe-medford	10.95	5	1	Dim Sum Cafe
311	chinese eggplant w/ garlic sauce		dim-sum-cafe-medford	7.65	4	1	Dim Sum Cafe
312	vegetarian delight		dim-sum-cafe-medford	7.65	3	1	Dim Sum Cafe
313	broccoli w/ oyster sauce		dim-sum-cafe-medford	7.65	2	1	Dim Sum Cafe
314	broccoli w/ garlic sauce		dim-sum-cafe-medford	7.65	1	1	Dim Sum Cafe
315	vegetarian ma-po tofu		dim-sum-cafe-medford	8	5	1	Dim Sum Cafe
316	fried tofu w/ broccoli		dim-sum-cafe-medford	8	5	1	Dim Sum Cafe
317	fried tofu w/ vegetable		dim-sum-cafe-medford	8	4	1	Dim Sum Cafe
318	tofu w/ oyster sauce		dim-sum-cafe-medford	8	3	1	Dim Sum Cafe
319	tofu w/ garlic sauce		dim-sum-cafe-medford	8	2	1	Dim Sum Cafe
320	chicken fried rice		dim-sum-cafe-medford	7.95	1	1	Dim Sum Cafe
321	pork fried rice		dim-sum-cafe-medford	7.95	5	1	Dim Sum Cafe
322	beef fried rice		dim-sum-cafe-medford	7.95	4	1	Dim Sum Cafe
323	shrimp fried rice		dim-sum-cafe-medford	7.95	3	1	Dim Sum Cafe
324	mushroom fried rice		dim-sum-cafe-medford	7.95	2	1	Dim Sum Cafe
325	vegetable fried rice		dim-sum-cafe-medford	7.95	1	1	Dim Sum Cafe
326	house special fried rice		dim-sum-cafe-medford	8.95	5	1	Dim Sum Cafe
327	yang zhou fried rice		dim-sum-cafe-medford	7.95	4	1	Dim Sum Cafe
328	singapore fried rice		dim-sum-cafe-medford	7.95	3	1	Dim Sum Cafe
329	curry chicken fried rice		dim-sum-cafe-medford	7.95	2	1	Dim Sum Cafe
330	thai chicken fried rice		dim-sum-cafe-medford	7.95	1	1	Dim Sum Cafe
331	japanese soy sauce w/ tofu fried rice		dim-sum-cafe-medford	7.95	5	1	Dim Sum Cafe
332	steamed white rice		dim-sum-cafe-medford	2.5	4	1	Dim Sum Cafe
333	steamed brown rice		dim-sum-cafe-medford	2.75	3	1	Dim Sum Cafe
334	pork lo mein		dim-sum-cafe-medford	8.75	2	1	Dim Sum Cafe
335	chicken lo mein		dim-sum-cafe-medford	8.75	1	1	Dim Sum Cafe
336	beef lo mein		dim-sum-cafe-medford	8.85	5	1	Dim Sum Cafe
337	shrimp lo mein		dim-sum-cafe-medford	8.85	5	1	Dim Sum Cafe
338	japanese soy sauce lo mein		dim-sum-cafe-medford	6	4	1	Dim Sum Cafe
339	garlic noodles		dim-sum-cafe-medford	6	3	1	Dim Sum Cafe
340	ginger and scallion lo mein		dim-sum-cafe-medford	6	2	1	Dim Sum Cafe
341	hong kong style lo mein		dim-sum-cafe-medford	8	1	1	Dim Sum Cafe
342	house special lo mein		dim-sum-cafe-medford	8.85	5	1	Dim Sum Cafe
343	tofu with vegetable lo mein		dim-sum-cafe-medford	8.85	4	1	Dim Sum Cafe
344	lobster sauce lo mein		dim-sum-cafe-medford	8.85	3	1	Dim Sum Cafe
345	ultimate nachos		highland-kitchen-somerville	7.5	2	1	Highland Kitchen
346	potato skins		highland-kitchen-somerville	6.5	1	1	Highland Kitchen
347	onion rings		highland-kitchen-somerville	4.25	5	1	Highland Kitchen
348	garlic bread		highland-kitchen-somerville	2.95	4	1	Highland Kitchen
349	chicken fingers		highland-kitchen-somerville	7.95	3	1	Highland Kitchen
350	shrimp scampi	five large shrimp | sauteed in garlic white wine sauce | served with toast points	highland-kitchen-somerville	8.95	2	1	Highland Kitchen
351	crispy fried calamari		highland-kitchen-somerville	8.5	1	1	Highland Kitchen
352	mozzarella sticks		highland-kitchen-somerville	6.5	5	1	Highland Kitchen
353	french fries		highland-kitchen-somerville	4.25	4	1	Highland Kitchen
354	fried ravioli		highland-kitchen-somerville	7.95	3	1	Highland Kitchen
355	wing dings		highland-kitchen-somerville	7.95	2	1	Highland Kitchen
356	golden fried shrimp (5)		highland-kitchen-somerville	8.95	1	1	Highland Kitchen
357	boneless buffalo tenders		highland-kitchen-somerville	7.95	5	1	Highland Kitchen
358	traditional antipasto	ham | salami | provolone over fresh lettuce	highland-kitchen-somerville	7.95	5	1	Highland Kitchen
359	garden salad	fresh greens with tomatoes | olives | cucumbers & sliced onions	highland-kitchen-somerville	3.95	4	1	Highland Kitchen
360	grilled vegetable salad	seasoned veggies over crisp greens drizzled with house balsamic dressing	highland-kitchen-somerville	7.95	3	1	Highland Kitchen
361	tex mex grilled chicken salad	crisp greens | tomato | sour cream | salsa | black olives | topped with monterey jack & cheddar cheeses	highland-kitchen-somerville	10.95	2	1	Highland Kitchen
362	caesar salad	crisp romaine & garlic croutons	highland-kitchen-somerville	7.95	1	1	Highland Kitchen
363	caesar steak tip salad	crisp romaine & garlic croutons with cook to order steak tips	highland-kitchen-somerville	12.95	5	1	Highland Kitchen
364	grilled chicken caesar salad	freshly grilled chicken served over crisp romaine & garlic croutons	highland-kitchen-somerville	9.95	4	1	Highland Kitchen
365	soup of the day		highland-kitchen-somerville	3.5	3	1	Highland Kitchen
366	n.e. clam chowder		highland-kitchen-somerville	4.25	2	1	Highland Kitchen
367	tripe		highland-kitchen-somerville	8.85	1	1	Highland Kitchen
368	homemade beef stew		highland-kitchen-somerville	8.85	5	1	Highland Kitchen
369	homemade chili		highland-kitchen-somerville	8.85	4	1	Highland Kitchen
370	baked eggplant parmigiana	served with pasta lightly breaded & fried | layered with marinara sauce & mozzarella cheese	highland-kitchen-somerville	10.95	3	1	Highland Kitchen
371	manicotti al forno	ricotta stuffed pasta tubes topped with mariners sauce & mozzarella cheese	highland-kitchen-somerville	10.95	2	1	Highland Kitchen
372	baked lasagna marinara	layers of pasta sheets | ricotta & parmesan cheese | baked mozzarella cheese	highland-kitchen-somerville	10.95	1	1	Highland Kitchen
373	eggplant bracciolatini	served with pasta rolled eggplant stuffed provolone | ricotta & broccoli | topped with melted cheese	highland-kitchen-somerville	10.95	5	1	Highland Kitchen
374	chicken-ziti & broccoli	a sauce of olive oil & garlic | with broccoli in a parmesan white wine sauce	highland-kitchen-somerville	10.95	4	1	Highland Kitchen
375	chicken parmigiana	served with pasta lightly breaded and fried | layered with marinara sauce and mozzarella cheese	highland-kitchen-somerville	10.95	3	1	Highland Kitchen
376	veal parmigiana	served with pasta lightly breaded and fried | layered with marinara sauce and mozzarella cheese	highland-kitchen-somerville	12.95	2	1	Highland Kitchen
377	shrimp scampi	served over rice or pasta sauteed sweet shrimp in a garlic white wine sauce enriched with butter	highland-kitchen-somerville	12.95	1	1	Highland Kitchen
378	scrod		highland-kitchen-somerville	11.95	5	1	Highland Kitchen
379	scallops		highland-kitchen-somerville	12.95	5	1	Highland Kitchen
380	shrimp		highland-kitchen-somerville	12.95	4	1	Highland Kitchen
381	calamari		highland-kitchen-somerville	11.95	3	1	Highland Kitchen
382	bbq sausage		highland-kitchen-somerville	9.95	2	1	Highland Kitchen
383	center cut pork chop		highland-kitchen-somerville	14.95	1	1	Highland Kitchen
384	sirloin steak tips		highland-kitchen-somerville	12.95	5	1	Highland Kitchen
385	turkey tenderloin tips		highland-kitchen-somerville	9.95	4	1	Highland Kitchen
386	baby back ribs - full rack		highland-kitchen-somerville	20.95	3	1	Highland Kitchen
387	pasta with tomato sauce		highland-kitchen-somerville	8.95	2	1	Highland Kitchen
388	pasta with meatballs		highland-kitchen-somerville	9.95	1	1	Highland Kitchen
389	pasta with sausages		highland-kitchen-somerville	11.95	5	1	Highland Kitchen
390	pasta with clam sauce	(red or white)	highland-kitchen-somerville	9.95	4	1	Highland Kitchen
391	pasta with garlic and oil		highland-kitchen-somerville	8.95	3	1	Highland Kitchen
392	fettuccini alfredo		highland-kitchen-somerville	8.95	2	1	Highland Kitchen
393	baked ziti		highland-kitchen-somerville	9.95	1	1	Highland Kitchen
394	small cheese pizza		highland-kitchen-somerville	8.95	5	1	Highland Kitchen
395	large cheese pizza		highland-kitchen-somerville	9.95	4	1	Highland Kitchen
396	hawaiian pizza	glazed ham | fresh pineapple | mozzarella cheese & tomato sauce	highland-kitchen-somerville	13.95	3	1	Highland Kitchen
397	broccoli bianco white pizza	crisp broccoli | diced roma tomato | garlic | olive oil | mozzarella cheese	highland-kitchen-somerville	12.95	2	1	Highland Kitchen
398	bianco white pizza	anchovies | garlic | vinegar peppers | black olives & mozzarella cheese	highland-kitchen-somerville	13.95	1	1	Highland Kitchen
399	buffalo chicken pizza	spicy chicken tenders | tomato sauce & mozzarella cheese	highland-kitchen-somerville	13.95	5	1	Highland Kitchen
400	calzones		highland-kitchen-somerville	10.5	5	1	Highland Kitchen
401	deli cold cut pizza	ham | salami | american & mozzarella cheese & diced tomatoes	highland-kitchen-somerville	10.5	4	1	Highland Kitchen
402	eggplant parmigiana pizza	breaded eggplant | tomato sauce | mozzarella | romano cheeses	highland-kitchen-somerville	10.5	3	1	Highland Kitchen
403	chicken & peppers pizza	grilled chicken | roasted peppers | tomatoes | mozzarella cheese	highland-kitchen-somerville	10.5	2	1	Highland Kitchen
404	spinach pizza	w/ four cheeses sauteed garlic spinach | feta | mozzarella | romano | ricotta	highland-kitchen-somerville	10.5	1	1	Highland Kitchen
405	chicken & broccoli pizza	grilled chicken | broccoli | garlic | mozzarella & romano cheese	highland-kitchen-somerville	10.5	5	1	Highland Kitchen
406	italian meatball pizza	homemade meatball | tomato sauce | mozzarella & romano cheese	highland-kitchen-somerville	10.5	4	1	Highland Kitchen
407	steak pepper & cheese	grilled shaved steak | american & mozzarella cheese	highland-kitchen-somerville	10.5	3	1	Highland Kitchen
408	quesadillas		highland-kitchen-somerville	7.95	2	1	Highland Kitchen
409	veal parmigiana sub		highland-kitchen-somerville	7.25	1	1	Highland Kitchen
410	steak & cheese sub		highland-kitchen-somerville	7.25	5	1	Highland Kitchen
411	meatball parmigiana sub		highland-kitchen-somerville	7.25	4	1	Highland Kitchen
412	eggplant parmigiana sub		highland-kitchen-somerville	7.25	3	1	Highland Kitchen
413	fried haddock & cole slaw sub		highland-kitchen-somerville	7.25	2	1	Highland Kitchen
414	grilled chicken sub		highland-kitchen-somerville	7.25	1	1	Highland Kitchen
415	chicken parmigiana sub		highland-kitchen-somerville	7.25	5	1	Highland Kitchen
416	tuna salad sub		highland-kitchen-somerville	5.25	4	1	Highland Kitchen
417	bacon | lettuce & tomato sub		highland-kitchen-somerville	5.25	3	1	Highland Kitchen
418	ham & american cheese sub		highland-kitchen-somerville	5.25	2	1	Highland Kitchen
419	italian cold cut & cheese sub		highland-kitchen-somerville	7.25	1	1	Highland Kitchen
420	sausage | onion | peppers sub		highland-kitchen-somerville	7.25	5	1	Highland Kitchen
421	a country sandwich	made with rustic bread and grilled on a panini grill press served with your choice of french fries or cole slaw.	highland-kitchen-somerville	8.25	5	1	Highland Kitchen
422	prosciutto	thinly sliced prosciutto | with fresh mozzarella sliced fresh tomato & basil	highland-kitchen-somerville	8.25	4	1	Highland Kitchen
423	breaded eggplant	with roasted red peppers | sliced artichoke & mozzarella cheese.	highland-kitchen-somerville	8.25	3	1	Highland Kitchen
424	grilled vegetable	zucchini | summer squash | roasted red peppers & fresh mozzarella.	highland-kitchen-somerville	8.25	2	1	Highland Kitchen
425	steak & cheese	grilled steak with provolone cheese | mushrooms | peppers and onions.	highland-kitchen-somerville	8.25	1	1	Highland Kitchen
426	grilled chicken	with fresh tomato | black olives | grilled zucchini & provolone cheese.	highland-kitchen-somerville	8.25	5	1	Highland Kitchen
427	kids spaghetti & meatballs		highland-kitchen-somerville	6.5	4	1	Highland Kitchen
428	kids chicken parmigiana	w/ pasta	highland-kitchen-somerville	6.5	3	1	Highland Kitchen
429	kids cheese ravioli	w/meatball	highland-kitchen-somerville	6.5	2	1	Highland Kitchen
430	kids cheese ravioli		highland-kitchen-somerville	5.25	1	1	Highland Kitchen
431	kids grilled hot dog & french fries		highland-kitchen-somerville	4.25	5	1	Highland Kitchen
432	kids cheeseburger & french fries		highland-kitchen-somerville	5.25	4	1	Highland Kitchen
433	kids chicken fingers & french fries		highland-kitchen-somerville	5.25	3	1	Highland Kitchen
434	kids grilled cheese & french fries		highland-kitchen-somerville	4.25	2	1	Highland Kitchen
435	potlikkers	lightly seasoned broth made from the greens.	redbones-somerville	1.99	1	1	Redbones
436	kitchen soup		redbones-somerville	1.99	5	1	Redbones
437	hushpuppies	the legendary fried cornbread | flavored w/ scallions & garlic served w/vinegar sauce.	redbones-somerville	2.99	4	1	Redbones
438	corn fritters	our own style | served w/real vt. maple syrup.	redbones-somerville	4.99	3	1	Redbones
439	catfingers	marinated in pepper sauce | breaded & fried w/ our own tartar sauce.	redbones-somerville	4.99	2	1	Redbones
440	nachos	fresh corn tortilla chips w/2 cheeses | salsa | guacamole | sour cream & jalapenos.	redbones-somerville	8.49	1	1	Redbones
441	chicken wings	grilled on the pit | served w/slaw & sauce.	redbones-somerville	7.99	5	1	Redbones
442	buffalo wings	w/bleu cheese.	redbones-somerville	7.99	5	1	Redbones
443	buffalo shrimp or scallops	fried w/bleu cheese dressing.	redbones-somerville	6.99	4	1	Redbones
444	texas chili	all meat chili | topped w/cheese & onions.	redbones-somerville	6.99	3	1	Redbones
445	chili verde	w/chips & cheese pork | tomatillos | jalapenos | cilantro & green chilies.	redbones-somerville	6.99	2	1	Redbones
446	sausage of the day	homemade with mustard.	redbones-somerville	4.99	1	1	Redbones
447	bbq hash	pulled pork | bbq beef | potatoes | peppers and spices.	redbones-somerville	4.99	5	1	Redbones
448	fried okra	breaded & deep fried | served w/salsa.	redbones-somerville	6.99	4	1	Redbones
449	fried oysters	w/chipotle tartar sauce.	redbones-somerville	7.99	3	1	Redbones
450	corn pudding	southern specialty w/mild chilies & cheese.	redbones-somerville	4.99	2	1	Redbones
451	garden salad	greens and garnishe with vinaigrette.	redbones-somerville	4.99	1	1	Redbones
452	succotash	lima beans | corn | peppers and onions - no meat.	redbones-somerville	4.99	5	1	Redbones
453	dirty rice	cajun rice with chicken livers | ground pork | peppers and spices.	redbones-somerville	4.99	4	1	Redbones
454	onion strings		redbones-somerville	3.99	3	1	Redbones
455	french fries	handcut.	redbones-somerville	3.99	2	1	Redbones
456	sweet potato fries		redbones-somerville	4.99	1	1	Redbones
457	fried pickles		redbones-somerville	4.99	5	1	Redbones
458	garlic mashed potatoes		redbones-somerville	2.99	4	1	Redbones
459	crispy potatoes		redbones-somerville	2.99	3	1	Redbones
460	grilled veggies		redbones-somerville	4.99	2	1	Redbones
461	mac n' cheese		redbones-somerville	4.99	1	1	Redbones
462	collard greens	some meat.	redbones-somerville	4.99	5	1	Redbones
463	candied yams		redbones-somerville	4.99	5	1	Redbones
464	steamed broccoli	with lemon.	redbones-somerville	4.99	4	1	Redbones
465	potato salad		redbones-somerville	2.99	3	1	Redbones
466	coleslaw		redbones-somerville	2.99	2	1	Redbones
467	beans		redbones-somerville	2.99	1	1	Redbones
468	atomic corn relish	hot.	redbones-somerville	1.99	5	1	Redbones
469	appetizer combo one	buffalo shrimp | catfingers | hushpuppies & fried okra w/ bleu cheese | vinegar sauce | tartar sauce & salsa	redbones-somerville	17.99	4	1	Redbones
470	appetizer combo two	sausage | st. louis style ribs | wings and hushpuppies with mustard and barbecue sauces.	redbones-somerville	17.99	3	1	Redbones
471	appetizer combo three	3 st. louis ribs & 3 grilled wings w/ bbq sauces.	redbones-somerville	15.99	2	1	Redbones
472	arkansas	ribs: one perfect rib	redbones-somerville	4.99	1	1	Redbones
473	memphis	ribs: one perfect rib	redbones-somerville	4.99	5	1	Redbones
474	texas bee	ribs: one perfect rib	redbones-somerville	5.99	4	1	Redbones
475	st. louis	ribs: one perfect rib	redbones-somerville	4.99	3	1	Redbones
476	baby back (3)	ribs: perfect ribs	redbones-somerville	5.99	2	1	Redbones
477	pulled pork sandwich	slow smoked pork.	redbones-somerville	7.99	1	1	Redbones
478	bbq beef sandwich	chopped brisket.	redbones-somerville	7.99	5	1	Redbones
479	sliced brisket	lean | tender beef.	redbones-somerville	8.99	4	1	Redbones
480	pulled chicken	chopped chicken | brown sugar | mustard & spices.	redbones-somerville	7.99	3	1	Redbones
481	jerk beef bbq	jamaican heat.	redbones-somerville	7.99	2	1	Redbones
482	grilled sausage	made here daily w/ lettuce | tomato & mustard.	redbones-somerville	7.99	1	1	Redbones
483	fried catfish	w/ lettuce | tomato & tartar sauce | plate w/ potato salad & cole slaw.	redbones-somerville	7.99	5	1	Redbones
484	grilled chicken breast	with lettuce and tomato.	redbones-somerville	7.99	5	1	Redbones
485	poboy dinner	fried oysters on a hot dog roll w/ chipotle tartar sauce and fries.	redbones-somerville	12.99	4	1	Redbones
486	portabello mushroom	grilled & served w/ onion merlot jam & small salad.	redbones-somerville	7.99	3	1	Redbones
487	grilled veggie burger	tomato | lettuce | and salsa. comes w/ small salad.	redbones-somerville	6.99	2	1	Redbones
488	arkansas rib	thick cut | country style | pork.	redbones-somerville	6.99	1	1	Redbones
489	memphis ribs	traditional pork spareribs.	redbones-somerville	6.99	5	1	Redbones
490	texas beef ribs	slo' smoked and big.	redbones-somerville	6.99	4	1	Redbones
491	smoked beef brisket	tender sliced beef.	redbones-somerville	6.99	3	1	Redbones
492	st. louis style ribs	tender pork ribs.	redbones-somerville	6.99	2	1	Redbones
493	baby back ribs	lean & tender pork ribs.	redbones-somerville	6.99	1	1	Redbones
494	the barbecue belt	taste of the south with memphis | texas | arkansas and brisket.	redbones-somerville	21.99	5	1	Redbones
495	wood grilled chicken	a tender 1/4 or 1/2 chicken | grilled on the pit.	redbones-somerville	6.99	4	1	Redbones
496	bbq hash dinner	pulled pork | bbq beef | peppers | potatoes | onions w/greens & beans.	redbones-somerville	10.99	3	1	Redbones
497	pulled pork or jerk beef (hot) or bbq beef or pulled chicken dinner	a mound of meat served w/ beans & cole slaw.	redbones-somerville	12.99	2	1	Redbones
498	sausage dinner	todays sausage | made here! served w/dirty rice & beans.	redbones-somerville	10.99	1	1	Redbones
499	fried louisiana catfish dinner	marinated in pepper sauce | served with potato salad | slaw | hushpuppies and tartar sauce.	redbones-somerville	15.99	5	1	Redbones
500	buffalo shrimp dinner	deep fried w/ bleu cheese sauce | ff & cole slaw.	redbones-somerville	15.99	4	1	Redbones
501	grilled/fried shrimp or scallop platter	w/ garlic mashed potatoes & broccoli.	redbones-somerville	15.99	3	1	Redbones
502	grilled salmon	fresh salmon | grilled w/ crispy potatoes & cole slaw.	redbones-somerville	15.99	2	1	Redbones
503	grilled fresh fish of the day	grilled w/ crispy potatoes & cole slaw.	redbones-somerville	16.99	1	1	Redbones
504	redbone's t-bone	16 oz t-bone | grilled to order w/ ff & cole slaw.	redbones-somerville	17.99	5	1	Redbones
505	steak tips	w/ garlic mashed potatoes & broccoli.	redbones-somerville	14.99	5	1	Redbones
506	easy order dinner for 4	1 rack memphis | st. louis or texas beef ribs | 1/2 bbq chicken or jerk chicken | 1 pt. pull pork | bbq beef | pull chicken or jerk beef | 1 pt. beans & 1 qt. cole slaw | 4 pieces of cornbread | 4 rolls & bbq sauces.	redbones-somerville	59.99	4	1	Redbones
507	easy order dinner for 6	1 1/2 racks memphis | st. louis or texas beef ribs | 1 whole bbq chicken or jerk chicken | 2 pts. pull pork or bbq beef or pull chicken or jerk beef | 1 qt. beans & 1 qt. cole slaw | 6 pieces of cornbread | 6 rolls & 4 bbq sauces.	redbones-somerville	89.99	3	1	Redbones
508	pecan pie		redbones-somerville	4.99	2	1	Redbones
509	sweet potato pie		redbones-somerville	4.99	1	1	Redbones
510	caramel custard		redbones-somerville	4.99	5	1	Redbones
511	white trash sundae		redbones-somerville	4.99	4	1	Redbones
512	key lime pie		redbones-somerville	4.99	3	1	Redbones
