FoodID,FoodName,Description,YelpID,Price,Rating,Total
73,pork peking style,stir-fired with hoisin sauce served with 3-5 pancakes,roses-chinese-restaurant-medford,8.55,5,1
74,pork with garlic sauce,,roses-chinese-restaurant-medford,8.55,2,1
75,vegetarian's delight,,roses-chinese-restaurant-medford,8.25,5,1
76,four treasure vegetable,pea pods | water chestnuts | black mushrooms and baby corns in a brown sauce,roses-chinese-restaurant-medford,8.25,5,1
77,sauteed string beans,,roses-chinese-restaurant-medford,8.25,5,1
78,broccoli with oyster sauce,,roses-chinese-restaurant-medford,8.25,4,1
79,broccoli with garlic sauc,,roses-chinese-restaurant-medford,8.25,3,1
80,chinese eggplant with garlic sauce,,roses-chinese-restaurant-medford,8.25,5,1
81,fried bean curd family style,,roses-chinese-restaurant-medford,8.25,5,1
82,sauteed shanghai baby bok choy,,roses-chinese-restaurant-medford,8.25,2,1
83,lo mein,choice: shrimp | pork | beef | chicken or vegetables,roses-chinese-restaurant-medford,7.25,1,1
84,the house special lo mein,,roses-chinese-restaurant-medford,7.85,5,1
85,shang-hai pan fried noodles,topping with shrimp | pork | chicken & vegetables,roses-chinese-restaurant-medford,9.75,4,1
86,pan fried noodles with vegetables,,roses-chinese-restaurant-medford,8.95,3,1
87,dan dan mein,noodles with bean sprouts in a spicy peanut buttery sauce,roses-chinese-restaurant-medford,7.25,2,1
88,chow fun,choice | shrimp | pork | beef | chicken or vegetable,roses-chinese-restaurant-medford,8.45,5,1
89,eight delight chow fun,shrimp | scallops | squid | chicken | pork & mixed vegs,roses-chinese-restaurant-medford,11.25,2,1
90,singapore style rice sticks,,roses-chinese-restaurant-medford,8.25,5,1
91,house special rice sticks,,roses-chinese-restaurant-medford,8.25,5,1
92,fried rice,choice: shrimp | pork | beef | chicken or vegetable,roses-chinese-restaurant-medford,6.65,5,1
93,chicken & pineapple fried rice,,roses-chinese-restaurant-medford,7.55,4,1
94,the house special fried rice,white style | served with shrimp | chicken and pork.,roses-chinese-restaurant-medford,7.55,3,1
95,boiled white rice,,roses-chinese-restaurant-medford,2.95,5,1
96,pad thai,choice: shrimp | pork | beef | chicken or vegetable,roses-chinese-restaurant-medford,8.55,5,1
